Soort,Familie,Haven,Hoeveelheid in kg,Hoeveelheid in EU,year,month
Schelvis,Bodemvis,Oostende,4782.0,5250.0,2012,01
Kabeljauw,Bodemvis,Oostende,22449.0,58882.0,2012,01
Koolvis,Bodemvis,Oostende,6.0,16.0,2012,01
Wijting,Bodemvis,Oostende,5495.0,6246.0,2012,01
Pollak,Bodemvis,Oostende,578.0,1778.0,2012,01
Leng,Bodemvis,Oostende,1056.0,2026.0,2012,01
Heek,Bodemvis,Oostende,174.0,358.0,2012,01
Steenbolk,Bodemvis,Oostende,21552.0,7988.0,2012,01
Schol,Bodemvis,Oostende,124934.0,158814.0,2012,01
Bot,Bodemvis,Oostende,1178.0,866.0,2012,01
Schar,Bodemvis,Oostende,7885.0,6642.0,2012,01
Tong,Bodemvis,Oostende,79758.0,909678.0,2012,01
Tarbot,Bodemvis,Oostende,9517.0,92964.0,2012,01
Griet,Bodemvis,Oostende,9273.0,61194.0,2012,01
Tongschar,Bodemvis,Oostende,25353.0,91584.0,2012,01
Schartong,Bodemvis,Oostende,9989.0,23752.0,2012,01
Heilbot,Bodemvis,Oostende,0.0,0.0,2012,01
Rog,Bodemvis,Oostende,46515.0,80960.0,2012,01
Rode poon,Bodemvis,Oostende,10303.0,15010.0,2012,01
Grauwe poon,Bodemvis,Oostende,32.0,8.0,2012,01
Engelse poon,Bodemvis,Oostende,5723.0,3408.0,2012,01
Zeewolf,Bodemvis,Oostende,0.0,0.0,2012,01
Zeeduivel,Bodemvis,Oostende,14562.0,104374.0,2012,01
Kongeraal,Bodemvis,Oostende,814.0,842.0,2012,01
Roodbaars,Bodemvis,Oostende,0.0,0.0,2012,01
Mul,Bodemvis,Oostende,0.0,0.0,2012,01
Zeebaars,Bodemvis,Oostende,2362.0,16198.0,2012,01
Doornhaai,Bodemvis,Oostende,6.0,20.0,2012,01
Hondshaai,Bodemvis,Oostende,18211.0,7830.0,2012,01
Zandhaai,Bodemvis,Oostende,6.0,2.0,2012,01
Andere soorten,Bodemvis,Oostende,7534.0,30106.0,2012,01
Haring,Pelagische Vis,Oostende,0.0,0.0,2012,01
Makreel,Pelagische Vis,Oostende,0.0,0.0,2012,01
Sprot,Pelagische Vis,Oostende,0.0,0.0,2012,01
Andere soorten,Pelagische Vis,Oostende,0.0,0.0,2012,01
Langoestine geheel,Schaal- en Weekdieren,Oostende,3517.0,23672.0,2012,01
Langoestine staartje,Schaal- en Weekdieren,Oostende,246.0,2582.0,2012,01
Noordzeekrab,Schaal- en Weekdieren,Oostende,864.0,2374.0,2012,01
Zeekreeft,Schaal- en Weekdieren,Oostende,91.0,636.0,2012,01
Andere schaaldieren,Schaal- en Weekdieren,Oostende,33.0,24.0,2012,01
Schelpen,Schaal- en Weekdieren,Oostende,26008.0,58408.0,2012,01
Inktvis,Schaal- en Weekdieren,Oostende,30921.0,91556.0,2012,01
Wulk,Schaal- en Weekdieren,Oostende,1573.0,1040.0,2012,01
Andere soorten,Schaal- en Weekdieren,Oostende,0.0,0.0,2012,01
Schelvis,Bodemvis,Zeebrugge,24088.0,27700.0,2012,01
Kabeljauw,Bodemvis,Zeebrugge,59347.0,142262.0,2012,01
Koolvis,Bodemvis,Zeebrugge,30.0,60.0,2012,01
Wijting,Bodemvis,Zeebrugge,22134.0,26972.0,2012,01
