"Zeevisserij","","","","","","","",""
"1","Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht",NA,NA,NA,NA,NA,NA,NA,NA
"2","Verdeling volgens de aanvoerhavens en de vissoorten - December 2015",NA,NA,NA,NA,NA,NA,NA,NA
"3","Vissoorten","Totaal van de havens",NA,"Oostende",NA,"Zeebrugge",NA,"Nieuwpoort",NA
"4",NA,"Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR","Totale hoeveelheid kg","Totale waarde EUR"
"5","Algemeen totaal","1801494.000000","6202896.000000","429745.000000","1474728.000000","1362483.000000","4674754.000000","9266.000000","53420.000000"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bodemvissen :",NA,NA,NA,NA,NA,NA,NA,NA
"8","Totaal","1591887.000000","5529966.000000","364292.000000","1226800.000000","1222629.000000","4289124.000000","4966.000000","14042.000000"
"9","Schelvis","6308.000000","12956.000000","2195.000000","2876.000000","4113.000000","10080.000000","-","-"
"10","Kabeljauw","130478.000000","346912.000000","3989.000000","15034.000000","125207.000000","327214.000000","1282.000000","4664.000000"
"11","Koolvis","566.000000","952.000000","2.000000","4.000000","564.000000","948.000000","-","-"
"12","Wijting","13755.000000","16458.000000","4959.000000","5856.000000","8231.000000","10136.000000","565.000000","466.000000"
"13","Pollak","2496.000000","10892.000000","267.000000","1176.000000","2229.000000","9716.000000","-","-"
"14","Leng","1475.000000","4638.000000","293.000000","772.000000","1182.000000","3866.000000","-","-"
"15","Heek","139.000000","430.000000","9.000000","20.000000","130.000000","410.000000","-","-"
"16","Steenbolk","20429.000000","14728.000000","9976.000000","5074.000000","10451.000000","9654.000000","2.000000","-"
"17","Schol","880448.000000","1457788.000000","173441.000000","281292.000000","706904.000000","1176378.000000","103.000000","116.000000"
"18","Bot","6757.000000","5142.000000","4974.000000","3834.000000","1187.000000","924.000000","596.000000","384.000000"
"19","Schar","20142.000000","15320.000000","6534.000000","4214.000000","11777.000000","9878.000000","1831.000000","1230.000000"
"20","Tong","171099.000000","2077704.000000","50727.000000","548980.000000","119945.000000","1522058.000000","427.000000","6666.000000"
"21","Tarbot","35485.000000","386314.000000","8084.000000","95036.000000","27374.000000","291012.000000","27.000000","266.000000"
"22","Griet","39136.000000","232240.000000","9226.000000","54024.000000","29909.000000","178208.000000","1.000000","8.000000"
"23","Tongschar","57017.000000","476630.000000","6680.000000","45320.000000","50337.000000","431310.000000","-","-"
"24","Schartong","1525.000000","3342.000000","1472.000000","3156.000000","53.000000","186.000000","-","-"
"25","Heilbot","29.000000","394.000000","-","-","29.000000","394.000000","-","-"
"26","Hondstong","754.000000","2502.000000","416.000000","1460.000000","338.000000","1042.000000","-","-"
"27","Rog","17795.000000","57402.000000","4600.000000","15466.000000","13189.000000","41916.000000","6.000000","22.000000"
"28","Rode poon","88567.000000","54200.000000","36037.000000","22780.000000","52527.000000","31418.000000","3.000000","2.000000"
"29","Grauwe poon","848.000000","156.000000","-","-","848.000000","156.000000","-","-"
"30","Engelse poon","12272.000000","3918.000000","5838.000000","1670.000000","6434.000000","2248.000000","-","-"
"31","Zeewolf","1704.000000","7960.000000","-","-","1704.000000","7960.000000","-","-"
"32","Zeeduivel","15488.000000","259194.000000","5526.000000","79284.000000","9962.000000","179910.000000","-","-"
"33","Kongeraal","2943.000000","4860.000000","1728.000000","2610.000000","1215.000000","2250.000000","-","-"
"34","Roodbaars","23.000000","36.000000","-","-","23.000000","36.000000","-","-"
"35","Mul","24401.000000","39514.000000","8868.000000","14408.000000","15533.000000","25106.000000","-","-"
"36","Zeebaars","1755.000000","21444.000000","1199.000000","14662.000000","555.000000","6770.000000","1.000000","10.000000"
"37","Doornhaai","-","-","-","-","-","-","-","-"
"38","Hondshaai","36438.000000","13462.000000","15870.000000","5670.000000","20465.000000","7734.000000","103.000000","58.000000"
"39","Zandhaai","494.000000","516.000000","428.000000","466.000000","66.000000","50.000000","-","-"
"40","Andere soorten","1121.000000","1962.000000","954.000000","1656.000000","148.000000","156.000000","19.000000","150.000000"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pelagische vis :",NA,NA,NA,NA,NA,NA,NA,NA
"43","Totaal","13105.000000","17072.000000","6480.000000","11800.000000","6566.000000","5188.000000","59.000000","84.000000"
"44","Horsmakereel","458.000000","614.000000","244.000000","320.000000","214.000000","294.000000","-","-"
"45","Haring","1433.000000","2056.000000","917.000000","1096.000000","457.000000","876.000000","59.000000","84.000000"
"46","Makreel","11214.000000","14402.000000","5319.000000","10384.000000","5895.000000","4018.000000","-","-"
"47","Sprot","-","-","-","-","-","-","-","-"
"48","Andere soorten","-","-","-","-","-","-","-","-"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Schaal-en weekdieren :",NA,NA,NA,NA,NA,NA,NA,NA
"51","Totaal","196502.000000","655858.000000","58973.000000","236128.000000","133288.000000","380442.000000","4241.000000","39294.000000"
"52","Garnaal","9851.000000","85206.000000","5190.000000","42654.000000","420.000000","3260.000000","4241.000000","39294.000000"
"53","Langoestine geheel","2051.000000","20674.000000","1516.000000","16248.000000","535.000000","4426.000000","-","-"
"54","Langoestine staartje","288.000000","3652.000000","196.000000","2438.000000","92.000000","1216.000000","-","-"
"55","Noordzeekrab","8238.000000","17826.000000","1072.000000","3200.000000","7166.000000","14628.000000","-","-"
"56","Zeekreeft","100.000000","1220.000000","75.000000","850.000000","25.000000","370.000000","-","-"
"57","Andere schaaldieren","285.000000","202.000000","112.000000","40.000000","173.000000","162.000000","-","-"
