Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Juni 2016,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,1180992.000000,5071116.000000,412919.000000,1492372.000000,762372.000000,3532554.000000,5701.000000,46198.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,1111898.000000,4794398.000000,387077.000000,1327314.000000,720500.000000,3434886.000000,4321.000000,32200.000000
9,Schelvis,13643.000000,22354.000000,5221.000000,9032.000000,8422.000000,13324.000000,-,-
10,Kabeljauw,38566.000000,110038.000000,6510.000000,22124.000000,32056.000000,87912.000000,-,-
11,Koolvis,469.000000,704.000000,11.000000,20.000000,458.000000,684.000000,-,-
12,Wijting,9038.000000,12354.000000,4320.000000,5882.000000,4697.000000,6462.000000,21.000000,10.000000
13,Pollak,2842.000000,9982.000000,1542.000000,5598.000000,1300.000000,4384.000000,-,-
14,Leng,1367.000000,3746.000000,410.000000,1090.000000,957.000000,2656.000000,-,-
15,Heek,8870.000000,16926.000000,2229.000000,4054.000000,6641.000000,12872.000000,-,-
16,Steenbolk,8312.000000,5514.000000,2464.000000,1316.000000,5848.000000,4198.000000,-,-
17,Schol,473330.000000,756182.000000,192762.000000,288186.000000,280254.000000,467658.000000,314.000000,338.000000
18,Bot,22072.000000,12630.000000,16352.000000,9550.000000,4430.000000,2558.000000,1290.000000,522.000000
19,Schar,13772.000000,11422.000000,7802.000000,6198.000000,5516.000000,4758.000000,454.000000,466.000000
20,Tong,239764.000000,2621474.000000,60099.000000,628942.000000,177468.000000,1961896.000000,2197.000000,30634.000000
21,Tarbot,18723.000000,169676.000000,9275.000000,79946.000000,9442.000000,89690.000000,6.000000,40.000000
22,Griet,8373.000000,66134.000000,3754.000000,28962.000000,4615.000000,37146.000000,4.000000,26.000000
23,Tongschar,33086.000000,140772.000000,7421.000000,25208.000000,25665.000000,115564.000000,-,-
24,Schartong,28613.000000,32754.000000,9746.000000,11654.000000,18867.000000,21100.000000,-,-
25,Heilbot,173.000000,2008.000000,68.000000,768.000000,105.000000,1240.000000,-,-
26,Hondstong,5816.000000,12136.000000,2154.000000,4384.000000,3662.000000,7752.000000,-,-
27,Rog,86308.000000,214492.000000,36028.000000,87018.000000,50280.000000,127474.000000,-,-
28,Rode poon,13539.000000,17444.000000,2959.000000,3762.000000,10579.000000,13684.000000,1.000000,-
29,Grauwe poon,18006.000000,6898.000000,927.000000,400.000000,17079.000000,6500.000000,-,-
30,Engelse poon,1943.000000,836.000000,781.000000,302.000000,1162.000000,534.000000,-,-
31,Zeewolf,1373.000000,5478.000000,25.000000,98.000000,1348.000000,5380.000000,-,-
32,Zeeduivel,53946.000000,522324.000000,10101.000000,94658.000000,43845.000000,427666.000000,-,-
33,Kongeraal,1895.000000,3090.000000,599.000000,1074.000000,1296.000000,2016.000000,-,-
34,Roodbaars,-,-,-,-,-,-,-,-
35,Mul,6059.000000,9484.000000,2014.000000,2342.000000,4045.000000,7144.000000,-,-
36,Zeebaars,393.000000,5726.000000,227.000000,3494.000000,153.000000,2094.000000,13.000000,136.000000
37,Doornhaai,-,-,-,-,-,-,-,-
38,Hondshaai,-,-,-,-,-,-,-,-
39,Zandhaai,814.000000,230.000000,758.000000,214.000000,39.000000,12.000000,17.000000,4.000000
40,Andere soorten,793.000000,1590.000000,518.000000,1038.000000,271.000000,528.000000,4.000000,24.000000
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,334.000000,404.000000,203.000000,278.000000,70.000000,112.000000,61.000000,16.000000
44,Horsmakereel,227.000000,188.000000,159.000000,168.000000,7.000000,6.000000,61.000000,16.000000
45,Haring,-,-,-,-,-,-,-,-
46,Makreel,107.000000,216.000000,44.000000,110.000000,63.000000,106.000000,-,-
47,Sprot,-,-,-,-,-,-,-,-
48,Andere soorten,-,-,-,-,-,-,-,-
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
51,Totaal,68760.000000,276314.000000,25639.000000,164780.000000,41802.000000,97556.000000,1319.000000,13982.000000
52,Garnaal,8176.000000,86142.000000,6295.000000,66066.000000,743.000000,6710.000000,1138.000000,13366.000000
53,Langoestine geheel,6656.000000,67150.000000,5206.000000,50606.000000,1450.000000,16544.000000,-,-
54,Langoestine staartje,4382.000000,33144.000000,3016.000000,21976.000000,1366.000000,11168.000000,-,-
55,Noordzeekrab,7159.000000,10738.000000,2023.000000,3486.000000,5136.000000,7254.000000,-,-
56,Zeekreeft,151.000000,1372.000000,133.000000,1214.000000,18.000000,160.000000,-,-
57,Andere schaaldieren,441.000000,128.000000,12.000000,16.000000,429.000000,112.000000,-,-
