Zeevisserij,,,,,,,,
1,Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht,NA,NA,NA,NA,NA,NA,NA,NA
2,Verdeling volgens de aanvoerhavens en de vissoorten - Juli 2014,NA,NA,NA,NA,NA,NA,NA,NA
3,Vissoorten,Totaal van de havens,NA,Oostende,NA,Zeebrugge,NA,Nieuwpoort,NA
4,NA,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR,Totale hoeveelheid kg,Totale waarde EUR
5,Algemeen totaal,985670.000000,4140502.000000,301688.000000,1129260.000000,671851.000000,2942942.000000,12131.000000,68290.000000
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bodemvissen :,NA,NA,NA,NA,NA,NA,NA,NA
8,Totaal,879076.000000,3642802.000000,250038.000000,877664.000000,625229.000000,2741238.000000,3809.000000,23888.000000
9,Schelvis,11552.000000,24332.000000,3950.000000,8462.000000,7602.000000,15870.000000,-,-
10,Kabeljauw,30855.000000,89154.000000,2093.000000,7258.000000,28762.000000,81894.000000,-,-
11,Koolvis,149.000000,290.000000,8.000000,18.000000,141.000000,272.000000,-,-
12,Wijting,9658.000000,15322.000000,6091.000000,9228.000000,3567.000000,6094.000000,-,-
13,Pollak,1543.000000,6738.000000,278.000000,1090.000000,1265.000000,5650.000000,-,-
14,Leng,1253.000000,3746.000000,187.000000,502.000000,1066.000000,3244.000000,-,-
15,Heek,6521.000000,13368.000000,486.000000,996.000000,6035.000000,12372.000000,-,-
16,Steenbolk,3963.000000,2246.000000,2168.000000,914.000000,1795.000000,1332.000000,-,-
17,Schol,297195.000000,373888.000000,81156.000000,94880.000000,215979.000000,278928.000000,60.000000,78.000000
18,Bot,24438.000000,11532.000000,17684.000000,8488.000000,5551.000000,2658.000000,1203.000000,384.000000
19,Schar,7225.000000,4956.000000,3218.000000,1996.000000,4007.000000,2958.000000,-,-
20,Tong,203607.000000,2010258.000000,52070.000000,489448.000000,149122.000000,1497488.000000,2415.000000,23320.000000
21,Tarbot,16316.000000,176608.000000,6545.000000,69254.000000,9766.000000,107312.000000,5.000000,42.000000
22,Griet,7943.000000,73102.000000,3678.000000,33146.000000,4264.000000,39944.000000,1.000000,12.000000
23,Tongschar,38035.000000,140952.000000,5091.000000,18380.000000,32944.000000,122572.000000,-,-
24,Schartong,17408.000000,27084.000000,2906.000000,3842.000000,14502.000000,23242.000000,-,-
25,Heilbot,97.000000,1432.000000,5.000000,60.000000,92.000000,1372.000000,-,-
26,Hondstong,5391.000000,9610.000000,806.000000,1350.000000,4585.000000,8258.000000,-,-
27,Rog,94506.000000,165560.000000,40727.000000,70606.000000,53779.000000,94954.000000,-,-
28,Rode poon,9965.000000,16526.000000,1546.000000,2008.000000,8419.000000,14518.000000,-,-
29,Grauwe poon,10519.000000,2416.000000,849.000000,182.000000,9670.000000,2234.000000,-,-
30,Engelse poon,1307.000000,568.000000,557.000000,198.000000,750.000000,370.000000,-,-
31,Zeewolf,1797.000000,6784.000000,-,-,1797.000000,6784.000000,-,-
32,Zeeduivel,47992.000000,438890.000000,5404.000000,43772.000000,42588.000000,395118.000000,-,-
33,Kongeraal,1530.000000,1878.000000,572.000000,670.000000,958.000000,1208.000000,-,-
34,Roodbaars,-,-,-,-,-,-,-,-
35,Mul,761.000000,5148.000000,110.000000,704.000000,651.000000,4444.000000,-,-
36,Zeebaars,484.000000,6916.000000,367.000000,5150.000000,115.000000,1750.000000,2.000000,16.000000
37,Doornhaai,-,-,-,-,-,-,-,-
38,Hondshaai,26152.000000,12456.000000,10971.000000,4478.000000,15181.000000,7978.000000,-,-
39,Zandhaai,303.000000,130.000000,168.000000,84.000000,15.000000,10.000000,120.000000,34.000000
40,Andere soorten,611.000000,912.000000,347.000000,500.000000,261.000000,410.000000,3.000000,2.000000
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Pelagische vis :,NA,NA,NA,NA,NA,NA,NA,NA
43,Totaal,49.000000,78.000000,6.000000,2.000000,43.000000,76.000000,-,-
44,Horsmakereel,6.000000,2.000000,6.000000,2.000000,-,-,-,-
45,Haring,-,-,-,-,-,-,-,-
46,Makreel,43.000000,76.000000,-,-,43.000000,76.000000,-,-
47,Sprot,-,-,-,-,-,-,-,-
48,Andere soorten,-,-,-,-,-,-,-,-
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Schaal-en weekdieren :,NA,NA,NA,NA,NA,NA,NA,NA
51,Totaal,106545.000000,497622.000000,51644.000000,251594.000000,46579.000000,201628.000000,8322.000000,44402.000000
52,Garnaal,43107.000000,216596.000000,28919.000000,134428.000000,5866.000000,37768.000000,8322.000000,44402.000000
53,Langoestine geheel,34708.000000,225824.000000,13478.000000,91356.000000,21230.000000,134468.000000,-,-
54,Langoestine staartje,2231.000000,19754.000000,935.000000,8668.000000,1296.000000,11086.000000,-,-
55,Noordzeekrab,10525.000000,12784.000000,2545.000000,3208.000000,7980.000000,9576.000000,-,-
56,Zeekreeft,227.000000,1590.000000,221.000000,1544.000000,6.000000,46.000000,-,-
57,Andere schaaldieren,62.000000,62.000000,30.000000,4.000000,32.000000,58.000000,-,-
58,Schelpen,4908.000000,10828.000000,2902.000000,7892.000000,2006.000000,2936.000000,-,-
59,Inktvis,9897.000000,9306.000000,2190.000000,4038.000000,7707.000000,5268.000000,-,-
60,Wulk,880.000000,878.000000,424.000000,456.000000,456.000000,422.000000,-,-
61,Andere soorten,-,-,-,-,-,-,-,-
62,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,* Bron : Vlaamse Overheid - Departement Landbouw en Visserij,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA
